lat,lon,id
47.9861336,19.5231209,Nógrád
47.4700584,21.4577427,Hajdú-Bihar
46.0358696,18.2104206,Baranya
47.5940018,20.2831001,Heves
47.5130310,19.1229801,Budapest
48.1985397,20.9715767,Borsod-Abaúj-Zemplén
46.6871414,16.8945789,Zala
46.5682373,19.3795605,Bács-Kiskun
48.2537994,20.6485004,Kazincbarcika
47.8764992,17.2742004,Mosonmagyaróvár
47.2623024,20.4201870,Jász-Nagykun-Szolnok
46.7112999,20.1455994,Csongrád
47.7939987,19.9363995,Gyöngyös%2CHeves
47.1208496,17.9503708,Veszprém
46.7334595,21.0089035,békés
47.3244019,20.9249992,Karcag
47.9925728,22.0808964,Szabolcs-Szatmár-Bereg megye
46.8827019,17.4344997,Tapolca
46.2609596,20.2052803,Szeged
46.5172691,16.9664803,Nagykanizsa
46.4306984,19.4789009,Kiskunhalas
46.6423798,21.3372402,Gyula
47.6083794,18.3133736,Komárom-Esztergom
46.4459267,17.6087303,Somogy
47.1500626,16.7497501,Vas megye
46.5077705,18.5378647,Tojna
47.9925728,22.0808964,Szabolcs-Szatmár-Bereg
46.7334595,21.0089035,Békés
