lat,lon,id
47.4290009,18.5986004,Alcsútdoboz
47.5130310,19.1229801,Budapest
46.1240997,19.3437004,Bácsalmás
46.7166214,21.0623207,Békéscsaba
47.1759987,19.8167992,Cegléd
46.7770996,16.8624992,Csatár
47.5989990,21.5759506,Debrecen
47.9827003,20.3397999,Eger
46.9328995,20.7845001,Gyomaendrőd
47.8167992,19.7880001,Gyöngyöspata
47.7051010,19.1331005,Göd
47.6012001,19.3521996,Gödöllő
47.8198013,21.5032997,Hajdúdorog
47.4357986,21.3887997,Hajdúszoboszló
46.4100990,20.3612995,Hódmezővásárhely
47.4924011,19.8959007,Jászberény
46.3048706,17.7828903,Kaposvár
48.2537994,20.6485004,Kazincbarcika
46.9270401,19.5845108,Kecskemét
46.7733002,17.2653008,Keszthely
47.8301010,17.3787994,Kimle
47.4944000,20.5144005,Kisköre
47.7384987,17.5230007,Kunsziget
48.1021004,20.7078991,Miskolc
47.8764992,17.2742004,Mosonmagyaróvár
46.9551010,18.8511009,Nagyvenyim
47.0335007,21.9902000,Nagyvárad
48.0251694,21.6957493,Nyíregyháza
46.6288986,18.8610992,Paks
47.2000008,17.5000000,Pápa
46.0712013,18.2285004,Pécs
47.9329987,20.1067009,Recsk
48.1859016,20.7693005,Sajóecseg
48.0806007,19.7929001,Salgótarján
46.8110008,21.3834991,Sarkadkeresztúr
47.6729012,16.6037006,Sopron
46.2609596,20.2052803,Szeged
46.8835983,18.6156006,Sárbogárd
46.7555008,16.8400002,Sárhida
47.6422997,18.3183002,Tata
47.5607986,18.4185009,Tatabánya
47.0849991,19.3745003,Tatárszentgyörgy
46.9796982,20.2472000,Tiszafoldvar
47.6166992,20.7667007,Tiszafüred
46.9329987,20.0912991,Tiszakécske
48.1091003,21.4111004,Tokaj
47.1208496,17.9503708,Veszprém
47.7663994,19.1478996,Vác
46.8462982,16.8511009,Zalaegerszeg
