"subject","type","answer"
"1428411488","practice","7"
"1428411488","practice","7"
"1428411488","practice","7"
"1428411488","t-B2-pet-ext-sbj","1"
"1428411488","t-A1-jul-dat-obj","3"
"1428411488","filler","7"
"1428411488","t-A1-mar-dat-obj","1"
"1428411488","t-A1-jul-nom-obj","3"
"1428411488","filler","4"
"1428411488","t-B1-pet-dat-sbj","1"
"1428411488","filler","7"
"1428411488","t-A2-ada-ext-sbj","2"
"1428411488","t-A1-mar-nom-obj","7"
"1428411488","filler","1"
"1428411488","t-B1-mar-nom-obj","5"
"1428411488","filler","1"
"1428411488","t-A1-ada-nom-obj","1"
"1428411488","t-B1-jul-dat-sbj","1"
"1428411488","filler","6"
"1428411488","t-A2-pet-ext-sbj","1"
"1428411488","t-B2-ada-ext-sbj","6"
"1428411488","filler","7"
"1428411488","t-A2-mar-ext-sbj","2"
"1428411488","filler","3"
"1428411488","t-B2-mar-ext-sbj","3"
"1428411488","t-B1-pet-nom-obj","1"
"1428411488","filler","7"
"1428411488","t-B1-jul-nom-obj","6"
"1428411488","filler","1"
"1428411488","t-B2-jul-ext-sbj","4"
"1428411488","t-B1-mar-nom-sbj","1"
"1428411488","filler","7"
"1428411488","t-A1-pet-nom-obj","7"
"1428411488","t-A1-jul-dat-sbj","1"
"1428411488","filler","3"
"1428411488","t-B1-jul-nom-sbj","1"
"1428411488","filler","1"
"1428411488","t-A1-pet-nom-sbj","1"
"1428411488","t-A1-jul-nom-sbj","1"
"1428411488","filler","1"
"1428411488","t-B1-pet-dat-obj","5"
"1428411488","filler","7"
"1428411488","t-A1-pet-dat-sbj","1"
"1428411488","t-B2-pet-ext-obj","3"
"1428411488","filler","2"
"1428411488","t-A1-ada-dat-sbj","1"
"1428411488","t-B1-mar-dat-sbj","1"
"1428411488","filler","1"
"1428411488","t-A1-mar-dat-sbj","1"
"1428411488","filler","7"
"1428411488","t-A2-ada-ext-obj","1"
"1428411488","t-A1-mar-nom-sbj","1"
"1428411488","filler","4"
"1428411488","t-B1-ada-dat-sbj","1"
"1428411488","filler","1"
"1428411488","t-B2-ada-ext-obj","7"
"1428411488","t-A2-mar-ext-obj","4"
"1428411488","filler","7"
"1428411488","t-B1-mar-dat-obj","7"
"1428411488","t-B1-pet-nom-sbj","1"
"1428411488","filler","1"
"1428411488","t-A1-pet-dat-obj","7"
"1428411488","filler","7"
"1428411488","t-B1-ada-nom-obj","7"
"1428411488","t-B1-jul-dat-obj","7"
"1428411488","filler","1"
"1428411488","t-B2-mar-ext-obj","6"
"1428411488","filler","6"
"1428411488","t-A1-ada-nom-sbj","1"
"1428411488","t-A2-jul-ext-sbj","1"
"1428411488","filler","4"
"1428411488","t-B2-jul-ext-obj","7"
"1428411488","t-B1-ada-nom-sbj","2"
"1428411488","filler","1"
"1428411488","t-A2-pet-ext-obj","5"
"1428411488","filler","7"
"1428411488","t-B1-ada-dat-obj","7"
"1428411488","t-A1-ada-dat-obj","4"
"1428411488","filler","6"
"1428411488","t-A2-jul-ext-obj","4"
"1428411488","filler","6"
"1428411623","practice","7"
"1428411623","practice","7"
"1428411623","practice","1"
"1428411623","t-B2-mar-ext-sbj","4"
"1428411623","filler","6"
"1428411623","t-B1-mar-dat-sbj","2"
"1428411623","t-A1-pet-dat-sbj","1"
"1428411623","filler","7"
"1428411623","t-A1-mar-nom-sbj","1"
"1428411623","filler","6"
"1428411623","t-A2-mar-ext-sbj","1"
"1428411623","t-B1-ada-dat-sbj","5"
"1428411623","filler","2"
"1428411623","t-A1-pet-nom-sbj","1"
"1428411623","filler","1"
"1428411623","t-A2-pet-ext-sbj","1"
"1428411623","t-A2-ada-ext-obj","5"
"1428411623","filler","7"
"1428411623","t-B2-jul-ext-obj","6"
"1428411623","t-A2-ada-ext-sbj","2"
"1428411623","filler","7"
"1428411623","t-A1-ada-nom-sbj","1"
"1428411623","filler","7"
"1428411623","t-B1-jul-dat-obj","7"
"1428411623","t-A2-pet-ext-obj","3"
"1428411623","filler","1"
"1428411623","t-B1-pet-nom-sbj","1"
"1428411623","filler","7"
"1428411623","t-B1-jul-dat-sbj","1"
"1428411623","t-A1-mar-dat-obj","6"
"1428411623","filler","7"
"1428411623","t-A1-ada-nom-obj","6"
"1428411623","t-B1-jul-nom-obj","7"
"1428411623","filler","1"
"1428411623","t-A2-jul-ext-sbj","1"
"1428411623","filler","1"
"1428411623","t-A1-mar-nom-obj","7"
"1428411623","t-B1-pet-dat-obj","7"
"1428411623","filler","7"
"1428411623","t-A2-jul-ext-obj","7"
"1428411623","filler","1"
"1428411623","t-A1-ada-dat-obj","6"
"1428411623","t-B1-ada-nom-obj","7"
"1428411623","filler","7"
"1428411623","t-B1-mar-dat-obj","7"
"1428411623","t-A1-pet-dat-obj","3"
"1428411623","filler","7"
"1428411623","t-A1-jul-nom-sbj","1"
"1428411623","filler","7"
"1428411623","t-B1-mar-nom-sbj","1"
"1428411623","t-B1-ada-dat-obj","7"
"1428411623","filler","1"
"1428411623","t-B1-jul-nom-sbj","1"
"1428411623","filler","1"
"1428411623","t-B2-pet-ext-sbj","1"
"1428411623","t-B1-ada-nom-sbj","1"
"1428411623","filler","7"
"1428411623","t-A1-pet-nom-obj","7"
"1428411623","t-A1-jul-nom-obj","7"
"1428411623","filler","7"
"1428411623","t-B2-jul-ext-sbj","1"
"1428411623","filler","1"
"1428411623","t-A1-ada-dat-sbj","1"
"1428411623","t-A1-mar-dat-sbj","1"
"1428411623","filler","7"
"1428411623","t-B2-ada-ext-obj","6"
"1428411623","filler","7"
"1428411623","t-B1-mar-nom-obj","7"
"1428411623","t-B1-pet-nom-obj","7"
"1428411623","filler","7"
"1428411623","t-B1-pet-dat-sbj","1"
"1428411623","t-A1-jul-dat-sbj","1"
"1428411623","filler","7"
"1428411623","t-B2-pet-ext-obj","7"
"1428411623","filler","7"
"1428411623","t-A1-jul-dat-obj","7"
"1428411623","t-B2-mar-ext-obj","7"
"1428411623","filler","7"
"1428411623","t-A2-mar-ext-obj","5"
"1428411623","filler","7"
"1428411623","t-B2-ada-ext-sbj","1"
"1428412115","practice","7"
"1428412115","practice","7"
"1428412115","practice","1"
"1428412115","t-B1-mar-nom-obj","7"
"1428412115","t-B1-pet-dat-sbj","1"
"1428412115","filler","7"
"1428412115","t-B2-pet-ext-sbj","1"
"1428412115","t-A2-ada-ext-obj","1"
"1428412115","filler","1"
"1428412115","t-B1-jul-dat-sbj","1"
"1428412115","filler","7"
"1428412115","t-A1-mar-dat-sbj","1"
"1428412115","t-B1-ada-dat-sbj","1"
"1428412115","filler","7"
"1428412115","t-B1-jul-nom-obj","7"
"1428412115","filler","7"
"1428412115","t-A1-pet-dat-obj","1"
"1428412115","t-A2-jul-ext-obj","1"
"1428412115","filler","1"
"1428412115","t-B1-ada-dat-obj","7"
"1428412115","t-B1-pet-dat-obj","7"
"1428412115","filler","1"
"1428412115","t-A1-pet-dat-sbj","1"
"1428412115","filler","7"
"1428412115","t-B1-ada-nom-obj","7"
"1428412115","t-B2-mar-ext-sbj","1"
"1428412115","filler","7"
"1428412115","t-A1-ada-dat-sbj","1"
"1428412115","filler","7"
"1428412115","t-B1-jul-nom-sbj","1"
"1428412115","t-B1-pet-nom-sbj","1"
"1428412115","filler","7"
"1428412115","t-B1-mar-dat-obj","7"
"1428412115","t-A1-jul-dat-obj","1"
"1428412115","filler","1"
"1428412115","t-A1-ada-dat-obj","1"
"1428412115","filler","7"
"1428412115","t-A2-mar-ext-sbj","1"
"1428412115","t-B2-ada-ext-sbj","1"
"1428412115","filler","7"
"1428412115","t-B1-jul-dat-obj","7"
"1428412115","filler","1"
"1428412115","t-B1-pet-nom-obj","7"
"1428412115","t-A1-pet-nom-sbj","1"
"1428412115","filler","7"
"1428412115","t-B2-ada-ext-obj","7"
"1428412115","t-B2-jul-ext-sbj","1"
"1428412115","filler","7"
"1428412115","t-A1-mar-dat-obj","1"
"1428412115","filler","1"
"1428412115","t-A2-ada-ext-sbj","1"
"1428412115","t-A1-ada-nom-obj","7"
"1428412115","filler","1"
"1428412115","t-B1-mar-nom-sbj","1"
"1428412115","filler","7"
"1428412115","t-A1-jul-nom-obj","7"
"1428412115","t-A1-jul-nom-sbj","1"
"1428412115","filler","1"
"1428412115","t-B2-mar-ext-obj","1"
"1428412115","t-B1-mar-dat-sbj","1"
"1428412115","filler","1"
"1428412115","t-B2-jul-ext-obj","1"
"1428412115","filler","7"
"1428412115","t-A1-pet-nom-obj","7"
"1428412115","t-A1-mar-nom-sbj","1"
"1428412115","filler","7"
"1428412115","t-A2-pet-ext-obj","1"
"1428412115","filler","7"
"1428412115","t-A1-ada-nom-sbj","1"
"1428412115","t-A2-pet-ext-sbj","1"
"1428412115","filler","1"
"1428412115","t-B2-pet-ext-obj","1"
"1428412115","t-B1-ada-nom-sbj","1"
"1428412115","filler","1"
