"subject","type","question","answer","sentence"
"1428411488","practice","NULL","7","undefined"
"1428411488","practice","NULL","7","undefined"
"1428411488","practice","NULL","7","undefined"
"1428411488","t-B2-pet-ext-sbj","NULL","1","undefined"
"1428411488","t-A1-jul-dat-obj","NULL","3","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A1-mar-dat-obj","NULL","1","undefined"
"1428411488","t-A1-jul-nom-obj","NULL","3","undefined"
"1428411488","filler","NULL","4","undefined"
"1428411488","t-B1-pet-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A2-ada-ext-sbj","NULL","2","undefined"
"1428411488","t-A1-mar-nom-obj","NULL","7","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-B1-mar-nom-obj","NULL","5","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-A1-ada-nom-obj","NULL","1","undefined"
"1428411488","t-B1-jul-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","6","undefined"
"1428411488","t-A2-pet-ext-sbj","NULL","1","undefined"
"1428411488","t-B2-ada-ext-sbj","NULL","6","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A2-mar-ext-sbj","NULL","2","undefined"
"1428411488","filler","NULL","3","undefined"
"1428411488","t-B2-mar-ext-sbj","NULL","3","undefined"
"1428411488","t-B1-pet-nom-obj","NULL","1","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-B1-jul-nom-obj","NULL","6","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-B2-jul-ext-sbj","NULL","4","undefined"
"1428411488","t-B1-mar-nom-sbj","NULL","1","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A1-pet-nom-obj","NULL","7","undefined"
"1428411488","t-A1-jul-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","3","undefined"
"1428411488","t-B1-jul-nom-sbj","NULL","1","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-A1-pet-nom-sbj","NULL","1","undefined"
"1428411488","t-A1-jul-nom-sbj","NULL","1","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-B1-pet-dat-obj","NULL","5","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A1-pet-dat-sbj","NULL","1","undefined"
"1428411488","t-B2-pet-ext-obj","NULL","3","undefined"
"1428411488","filler","NULL","2","undefined"
"1428411488","t-A1-ada-dat-sbj","NULL","1","undefined"
"1428411488","t-B1-mar-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-A1-mar-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-A2-ada-ext-obj","NULL","1","undefined"
"1428411488","t-A1-mar-nom-sbj","NULL","1","undefined"
"1428411488","filler","NULL","4","undefined"
"1428411488","t-B1-ada-dat-sbj","NULL","1","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-B2-ada-ext-obj","NULL","7","undefined"
"1428411488","t-A2-mar-ext-obj","NULL","4","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-B1-mar-dat-obj","NULL","7","undefined"
"1428411488","t-B1-pet-nom-sbj","NULL","1","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-A1-pet-dat-obj","NULL","7","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-B1-ada-nom-obj","NULL","7","undefined"
"1428411488","t-B1-jul-dat-obj","NULL","7","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-B2-mar-ext-obj","NULL","6","undefined"
"1428411488","filler","NULL","6","undefined"
"1428411488","t-A1-ada-nom-sbj","NULL","1","undefined"
"1428411488","t-A2-jul-ext-sbj","NULL","1","undefined"
"1428411488","filler","NULL","4","undefined"
"1428411488","t-B2-jul-ext-obj","NULL","7","undefined"
"1428411488","t-B1-ada-nom-sbj","NULL","2","undefined"
"1428411488","filler","NULL","1","undefined"
"1428411488","t-A2-pet-ext-obj","NULL","5","undefined"
"1428411488","filler","NULL","7","undefined"
"1428411488","t-B1-ada-dat-obj","NULL","7","undefined"
"1428411488","t-A1-ada-dat-obj","NULL","4","undefined"
"1428411488","filler","NULL","6","undefined"
"1428411488","t-A2-jul-ext-obj","NULL","4","undefined"
"1428411488","filler","NULL","6","undefined"
"1428411623","practice","NULL","7","undefined"
"1428411623","practice","NULL","7","undefined"
"1428411623","practice","NULL","1","undefined"
"1428411623","t-B2-mar-ext-sbj","NULL","4","undefined"
"1428411623","filler","NULL","6","undefined"
"1428411623","t-B1-mar-dat-sbj","NULL","2","undefined"
"1428411623","t-A1-pet-dat-sbj","NULL","1","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-A1-mar-nom-sbj","NULL","1","undefined"
"1428411623","filler","NULL","6","undefined"
"1428411623","t-A2-mar-ext-sbj","NULL","1","undefined"
"1428411623","t-B1-ada-dat-sbj","NULL","5","undefined"
"1428411623","filler","NULL","2","undefined"
"1428411623","t-A1-pet-nom-sbj","NULL","1","undefined"
"1428411623","filler","NULL","1","undefined"
"1428411623","t-A2-pet-ext-sbj","NULL","1","undefined"
"1428411623","t-A2-ada-ext-obj","NULL","5","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-B2-jul-ext-obj","NULL","6","undefined"
"1428411623","t-A2-ada-ext-sbj","NULL","2","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-A1-ada-nom-sbj","NULL","1","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-B1-jul-dat-obj","NULL","7","undefined"
"1428411623","t-A2-pet-ext-obj","NULL","3","undefined"
"1428411623","filler","NULL","1","undefined"
"1428411623","t-B1-pet-nom-sbj","NULL","1","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-B1-jul-dat-sbj","NULL","1","undefined"
"1428411623","t-A1-mar-dat-obj","NULL","6","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-A1-ada-nom-obj","NULL","6","undefined"
"1428411623","t-B1-jul-nom-obj","NULL","7","undefined"
"1428411623","filler","NULL","1","undefined"
"1428411623","t-A2-jul-ext-sbj","NULL","1","undefined"
"1428411623","filler","NULL","1","undefined"
"1428411623","t-A1-mar-nom-obj","NULL","7","undefined"
"1428411623","t-B1-pet-dat-obj","NULL","7","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-A2-jul-ext-obj","NULL","7","undefined"
"1428411623","filler","NULL","1","undefined"
"1428411623","t-A1-ada-dat-obj","NULL","6","undefined"
"1428411623","t-B1-ada-nom-obj","NULL","7","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-B1-mar-dat-obj","NULL","7","undefined"
"1428411623","t-A1-pet-dat-obj","NULL","3","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-A1-jul-nom-sbj","NULL","1","undefined"
"1428411623","filler","NULL","7","undefined"
"1428411623","t-B1-mar-nom-sbj","NULL","1","undefined"
"1428411623","t-B1-ada-dat-obj","NULL","7","undefined"
